season,franchise,team_qb_epa,team_qb_dropbacks,team_qb_metric,offense_epa,offense_plays,offense_metric,defense_epa_allowed,defense_plays,defense_metric,wins,losses,ties,games,record_metric
2006,ARI,6.58556775001406,582.0,0.011315408505178797,-46.22617619766661,1018,-0.045408817482973096,-43.398109863252856,1044,0.0415690707502422,5,11,0,16,0.3125
2006,ATL,-46.3572842183502,514.0,-0.09018926890729612,-52.01011115242275,1029,-0.050544325706922015,-8.183364082177068,1022,0.008007205559860144,7,9,0,16,0.4375
2006,BAL,54.534203500910735,555.0,0.09825982612776708,-14.05848772557026,1013,-0.013878072779437572,-210.03622352035677,961,0.218560066098186,13,3,0,16,0.8125
2006,BUF,-23.447711973582546,492.0,-0.04765795116581818,-81.72563442326492,924,-0.08844765630223476,-40.92553096336032,1038,0.039427293798998383,7,9,0,16,0.4375
2006,CAR,-35.38028262879448,577.0,-0.061317647536905516,-71.18927289239546,1006,-0.0707646847836933,-60.50017367389048,1013,0.05972376473236967,8,8,0,16,0.5
2006,CHI,-39.1082498516935,538.0,-0.07269191422247863,-49.06717601239174,1061,-0.046246160237881,-183.1488497613283,1049,0.17459375573053224,13,3,0,16,0.8125
2006,CIN,64.2870324416908,562.0,0.11438973744073096,44.81184968021195,1006,0.04454458218708941,23.789765413492724,1048,-0.022700157837302216,8,8,0,16,0.5
2006,CLE,-112.85031283674266,577.0,-0.19558113143282957,-189.911994965479,963,-0.19720871751347768,3.149835921374088,1044,-0.0030170842158755633,4,12,0,16,0.25
2006,DAL,80.57221794300534,565.0,0.14260569547434573,76.12851639439043,1050,0.07250334894703851,-9.178066131005174,995,0.009224187066336858,9,7,0,16,0.5625
2006,DEN,-40.55566986880966,497.0,-0.0816009454100798,-44.47204045788261,986,-0.045103489308197374,-67.34109063094657,1032,0.06525299479742884,9,7,0,16,0.5625
2006,DET,-47.221225426562725,672.0,-0.07026968069428977,-111.59168662678067,1000,-0.11159168662678066,25.56535126128128,1048,-0.024394419142443967,3,13,0,16,0.1875
2006,GB,-22.3574605817119,653.0,-0.034238071334934,-74.10412704371129,1104,-0.06712330348162254,-69.52676912889943,1023,0.06796360618660746,8,8,0,16,0.5
2006,HOU,-46.7261834910565,549.0,-0.08511144533890073,-60.25735791727138,972,-0.06199316658155492,23.28145358671205,1013,-0.022982678762795708,6,10,0,16,0.375
2006,IND,171.71408585741509,576.0,0.2981147323913456,156.75342537491235,1022,0.1533790854940434,66.55813250199333,978,-0.06805535020653715,12,4,0,16,0.75
2006,JAX,-12.60854107047406,515.0,-0.02448260402033798,11.126479609008422,1004,0.011082151004988468,-94.7019585857381,999,0.09479675534107918,8,8,0,16,0.5
2006,KC,14.52186189373524,502.0,0.028928011740508446,-9.064429889187112,1015,-0.008930472797228682,-12.785690524261335,1016,0.012584341067186354,9,7,0,16,0.5625
2006,LAC,80.09630711510178,504.0,0.1589212442759956,134.92227391101392,1029,0.13111979971915833,-67.9481684617221,1013,0.06707617814582637,14,2,0,16,0.875
2006,LAR,48.73973678692771,638.0,0.07639457176634437,43.16233613512674,1082,0.039891253359636544,25.154086495337616,985,-0.02553714365008895,8,8,0,16,0.5
2006,LV,-163.49978211308678,570.0,-0.2868417230054154,-253.7350780643478,986,-0.2573378073674927,-70.0672936609209,989,0.07084660633055702,2,14,0,16,0.125
2006,MIA,-60.18014840581841,637.0,-0.09447433030740723,-107.65700761731723,1046,-0.10292256942382144,-91.87815793260208,1028,0.08937564001225883,6,10,0,16,0.375
2006,MIN,-115.13882622804984,608.0,-0.18937306945402935,-159.2481924564827,1053,-0.1512328513356911,-122.88421248916468,993,0.12375046574941055,6,10,0,16,0.375
2006,NE,55.668272697940246,572.0,0.0973221550663291,66.8770352337765,1060,0.06309154267337405,-96.07751279168681,984,0.09763974877203944,12,4,0,16,0.75
2006,NO,96.398923793411,616.0,0.156491759404888,78.23099076589745,1080,0.07243610256101615,-28.853303612623076,936,0.030826179073315252,10,6,0,16,0.625
2006,NYG,-22.42463666948132,551.0,-0.04069807018054686,-17.811011246653266,1031,-0.01727547162623983,-35.10751070006401,1073,0.0327190220876645,8,8,0,16,0.5
